Zip Code,Total
ZCTA5 47918,5802
ZCTA5 47920,2665
ZCTA5 47921,1115
ZCTA5 47922,1482
ZCTA5 47923,3597
ZCTA5 47924,187
ZCTA5 47925,94
ZCTA5 47926,1132
ZCTA5 47928,1723
ZCTA5 47929,805
ZCTA5 47930,1053
ZCTA5 47932,5271
ZCTA5 47933,28092
ZCTA5 47940,1438
ZCTA5 47941,1309
ZCTA5 47942,668
ZCTA5 47943,914
ZCTA5 47944,3561
ZCTA5 47946,1892
ZCTA5 47948,1279
ZCTA5 47949,1245
ZCTA5 47950,878
ZCTA5 47951,2061
ZCTA5 47952,2628
ZCTA5 47954,2267
ZCTA5 47955,993
ZCTA5 47957,1759
ZCTA5 47958,172
ZCTA5 47959,2843
ZCTA5 47960,15029
ZCTA5 47963,1937
ZCTA5 47964,114
ZCTA5 47965,539
ZCTA5 47966,418
ZCTA5 47967,746
ZCTA5 47968,967
ZCTA5 47969,217
ZCTA5 47970,1955
ZCTA5 47971,1819
ZCTA5 47974,1106
ZCTA5 47975,682
ZCTA5 47977,2235
ZCTA5 47978,10815
ZCTA5 47980,1103
ZCTA5 47981,911
ZCTA5 47982,120
ZCTA5 47983,274
ZCTA5 47986,54
ZCTA5 47987,3802
ZCTA5 47989,1277
ZCTA5 47990,1629
ZCTA5 47991,1051
ZCTA5 47992,1425
ZCTA5 47993,3983
ZCTA5 47994,507
ZCTA5 47995,1651
ZCTA5 47997,116
