GEO_ID,NAME,P2_001N,P2_002N,P2_003N,P2_004N,
Geography,Geographic Area Name, !!Total:, !!Total:!!Urban, !!Total:!!Rural, !!Total:!!Not defined for this file,Predominant Type
860Z200US46974,ZCTA5 46974,1620,0,1620,0,Rural
860Z200US46975,ZCTA5 46975,14288,7333,6955,0,Urban
860Z200US46978,ZCTA5 46978,2018,0,2018,0,Rural
860Z200US46979,ZCTA5 46979,4893,88,4805,0,Rural
860Z200US46980,ZCTA5 46980,53,0,53,0,Rural
860Z200US46982,ZCTA5 46982,2602,0,2602,0,Rural
860Z200US46984,ZCTA5 46984,61,0,61,0,Rural
860Z200US46985,ZCTA5 46985,1285,0,1285,0,Rural
860Z200US46986,ZCTA5 46986,1769,0,1769,0,Rural
860Z200US46987,ZCTA5 46987,1010,952,58,0,Urban
860Z200US46988,ZCTA5 46988,721,0,721,0,Rural
860Z200US46989,ZCTA5 46989,5028,0,5028,0,Rural
860Z200US46990,ZCTA5 46990,805,0,805,0,Rural
860Z200US46991,ZCTA5 46991,1706,0,1706,0,Rural
860Z200US46992,ZCTA5 46992,16183,10254,5929,0,Urban
860Z200US46994,ZCTA5 46994,2626,0,2626,0,Rural
860Z200US46996,ZCTA5 46996,6830,0,6830,0,Rural
860Z200US46998,ZCTA5 46998,129,0,129,0,Rural
860Z200US47001,ZCTA5 47001,10208,3545,6663,0,Rural
860Z200US47003,ZCTA5 47003,958,0,958,0,Rural
860Z200US47006,ZCTA5 47006,12761,7568,5193,0,Urban
860Z200US47010,ZCTA5 47010,304,0,304,0,Rural
860Z200US47011,ZCTA5 47011,1003,0,1003,0,Rural
860Z200US47012,ZCTA5 47012,9994,0,9994,0,Rural
860Z200US47016,ZCTA5 47016,742,0,742,0,Rural
860Z200US47017,ZCTA5 47017,657,0,657,0,Rural
860Z200US47018,ZCTA5 47018,4273,0,4273,0,Rural
860Z200US47020,ZCTA5 47020,1004,0,1004,0,Rural
860Z200US47021,ZCTA5 47021,12,0,12,0,Rural
860Z200US47022,ZCTA5 47022,3192,0,3192,0,Rural
860Z200US47023,ZCTA5 47023,1711,0,1711,0,Rural
860Z200US47024,ZCTA5 47024,2880,0,2880,0,Rural
860Z200US47025,ZCTA5 47025,23118,16215,6903,0,Urban
860Z200US47030,ZCTA5 47030,1504,0,1504,0,Rural
860Z200US47031,ZCTA5 47031,5200,0,5200,0,Rural
860Z200US47032,ZCTA5 47032,3477,0,3477,0,Rural
860Z200US47033,ZCTA5 47033,6,6,0,0,Urban
860Z200US47034,ZCTA5 47034,172,0,172,0,Rural
860Z200US47035,ZCTA5 47035,272,0,272,0,Rural
860Z200US47036,ZCTA5 47036,1002,367,635,0,Rural
860Z200US47037,ZCTA5 47037,4167,0,4167,0,Rural
860Z200US47038,ZCTA5 47038,1168,0,1168,0,Rural
860Z200US47040,ZCTA5 47040,5288,0,5288,0,Rural
860Z200US47041,ZCTA5 47041,5891,0,5891,0,Rural
860Z200US47042,ZCTA5 47042,4375,0,4375,0,Rural
860Z200US47043,ZCTA5 47043,5102,0,5102,0,Rural
860Z200US47060,ZCTA5 47060,7109,405,6704,0,Rural
860Z200US47102,ZCTA5 47102,6884,0,6884,0,Rural
